id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
1292052,肖申克的救赎, The Shawshank Redemption,1994,9.7,3285317,弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins,,,犯罪 剧情,美国,,,,,,希望让人自由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1,,https://movie.douban.com/subject/1292052/
1291546,霸王别姬,,1993,9.6,2423905,陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung,,,剧情 爱情 同性,中国大陆 中国香港,,,,,,风华绝代。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg,2,,https://movie.douban.com/subject/1291546/
1292722,泰坦尼克号, Titanic,1997,9.5,2499188,詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997,,,剧情 爱情 灾难,美国,,,,,,失去的才是永恒的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,3,,https://movie.douban.com/subject/1292722/
1292720,阿甘正传, Forrest Gump,1994,9.5,2430930,罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks,,,剧情 爱情,美国,,,,,,一部美国近现代史。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500944103.jpg,4,,https://movie.douban.com/subject/1292720/
1291561,千与千寻, 千と千尋の神隠し,2001,9.4,2537594,宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi,,,剧情 动画 奇幻,日本,,,,,,最好的宫崎骏，最好的久石让。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,5,,https://movie.douban.com/subject/1291561/
1292063,美丽人生, La vita è bella,1997,9.5,1482710,罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni... 1997,,,剧情 喜剧 爱情 战争,意大利,,,,,,最美的谎言。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,6,,https://movie.douban.com/subject/1292063/
1889243,星际穿越, Interstellar,2014,9.4,2184542,克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc... 2014,,,剧情 科幻 冒险,美国 英国 加拿大,,,,,,爱是一种力量，让我们超越时空感知它的存在。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,7,,https://movie.douban.com/subject/1889243/
1295644,这个杀手不太冷, Léon,1994,9.4,2552894,吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno,,,剧情 动作 犯罪,法国 美国,,,,,,怪蜀黍和小萝莉不得不说的故事。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg,8,,https://movie.douban.com/subject/1295644/
3541415,盗梦空间, Inception,2010,9.4,2326110,克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le... 2010,,,剧情 科幻 悬疑 冒险,美国 英国,,,,,,诺兰给了我们一场无法盗取的梦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9,,https://movie.douban.com/subject/3541415/
1292064,楚门的世界, The Truman Show,1998,9.4,2019920,彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey,,,剧情 科幻,美国,,,,,,如果再也不能见到你，祝你早安，午安，晚安。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,10,,https://movie.douban.com/subject/1292064/
